"V1","V4","V5"
"SRX107284","DUX4","Muscle"
"SRX107285","DUX4","Muscle"
"SRX1089813","H3K4me3","Blood"
"SRX1089814","H3K4me3","Blood"
"SRX1089816","H3K27ac","Blood"
"SRX1089817","H3K27ac","Blood"
"SRX1089818","H3K27ac","Blood"
"SRX1089819","H3K27ac","Blood"
"SRX1089821","H3K27me3","Blood"
"SRX1089826","TAL1","Blood"
"SRX1089829","NFE2","Blood"
"SRX1089836","GATA2","Blood"
"SRX1091830","CTCFL","Epidermis"
"SRX109440","H3K4me3","Epidermis"
"SRX109441","H3K27me3","Epidermis"
"SRX109443","H3K4me3","Epidermis"
"SRX109444","H3K27me3","Epidermis"
"SRX109446","H3K4me3","Epidermis"
"SRX109447","H3K27me3","Epidermis"
"SRX109449","H3K4me3","Epidermis"
"SRX1094508","BRD4","Kidney"
"SRX1094509","H3K27ac","Kidney"
"SRX109450","H3K27me3","Epidermis"
"SRX1094510","BRD4","Kidney"
"SRX1094513","H3K27ac","Kidney"
"SRX1096823","H3K4me3","Neural"
"SRX1096824","H3K4me3","Neural"
"SRX1096826","H3K4me3","Neural"
"SRX1096827","H3K4me3","Neural"
"SRX1096828","H3K4me3","Neural"
"SRX110230","AFF4","Kidney"
"SRX110656","H3K4me3","Blood"
"SRX110657","H3K4me3","Blood"
"SRX110660","H3K27me3","Blood"
"SRX110661","H3K27me3","Blood"
"SRX110937","H3K4me3","Blood"
"SRX1116230","PROX1","Cardiovascular"
"SRX1116231","EP300","Cardiovascular"
"SRX1116232","EP300","Cardiovascular"
"SRX1116233","PROX1","Cardiovascular"
"SRX111773","CTCF","Blood"
"SRX111774","CTCF","Blood"
"SRX111775","CTCF","Blood"
"SRX111776","CTCF","Blood"
"SRX111777","CTCF","Blood"
"SRX111778","CTCF","Blood"
"SRX112015","RELA","Cardiovascular"
"SRX112016","RELA","Cardiovascular"
"SRX1123843","SMARCC1","Kidney"
"SRX1123844","SMARCA4","Kidney"
"SRX1123845","H3K27ac","Kidney"
"SRX1123847","H3K4me3","Kidney"
"SRX1123848","SMARCC1","Kidney"
"SRX1123849","SMARCA4","Kidney"
"SRX1123850","H3K27ac","Kidney"
"SRX1123852","H3K4me3","Kidney"
"SRX1131597","CBFA2T2","Pluripotent stem cell"
"SRX1131599","PRDM14","Pluripotent stem cell"
"SRX1131600","RNF2","Pluripotent stem cell"
"SRX1131601","SUZ12","Pluripotent stem cell"
"SRX113579","RNF2","Kidney"
"SRX113580","RYBP","Kidney"
"SRX113581","PCGF1","Kidney"
"SRX113583","BMI1","Kidney"
"SRX113584","PCGF5","Kidney"
"SRX113585","PCGF6","Kidney"
"SRX113586","CBX2","Kidney"
"SRX113587","H3K27me3","Kidney"
"SRX113589","RNF2","Kidney"
"SRX113590","RYBP","Kidney"
"SRX113591","BMI1","Kidney"
"SRX113592","CBX2","Kidney"
"SRX1142193","H3K27ac","Blood"
"SRX1142194","H3K27ac","Blood"
"SRX1142195","H3K27ac","Blood"
"SRX1142196","H3K27ac","Blood"
"SRX1142250","H3K4me3","Blood"
"SRX1143681","TP63","Breast"
